ThreadIdx: 334.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 335.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 336.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 337.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 338.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 339.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 340.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 341.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 342.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 343.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 344.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 345.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 346.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 347.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 348.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 349.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 350.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 351.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 352.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 353.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 354.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 355.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 356.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 357.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 358.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 359.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 360.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 361.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 362.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 363.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 364.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 365.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 366.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 367.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 368.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 369.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 370.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 371.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 372.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 373.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 374.0, BlockIdx: 1.0, BlockDim: 1024.0
